CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,SCALE_RES_ROB_ABS_SAL,SCALE_RES_ROB_AOU,VALUE_ABS_SAL,VALUE_AOU,AOU_gradient_sign_change,AOU_second_derivative_check,ABS_SAL_gradient_sign_change,ABS_SAL_second_derivative_check,WMO
63,260,47.459,-15.999,2021-08-01,2.266457085967588,-4.879243607668092,35.78101057786009,10.98040078879502,TRUE,TRUE,TRUE,FALSE,1902304
96,260,50.353,-17.468,2022-07-05,1.9718151664738703,-3.2715696198392195,35.73250143117858,13.216446610147282,TRUE,TRUE,TRUE,FALSE,1902304
104,500,50.129,-17.386,2022-09-25,2.5588537028996288,-4.679998667745388,35.61033431056099,44.644326577834995,TRUE,FALSE,TRUE,FALSE,1902304
112,540,51.661,-17.449,2022-12-17,3.0513702794687725,-4.378241167017279,35.57738041838302,45.25176023666811,TRUE,TRUE,TRUE,FALSE,1902304
113,220,51.16,-16.703,2022-12-27,2.2466113004541426,-4.642725911322803,35.69093961026276,10.168241714928778,TRUE,FALSE,TRUE,FALSE,1902304
114,220,50.643,-16.537,2023-01-06,2.730531517815585,-6.287667479115197,35.67040973908709,10.59692354303211,TRUE,TRUE,TRUE,FALSE,1902304
115,260,50.433,-15.901,2023-01-16,2.9428648096660903,-3.082114797890607,35.69670757881852,9.315823713129191,TRUE,TRUE,TRUE,FALSE,1902304
116,380,49.636,-14.907,2023-01-26,2.4128756863179657,-6.896850341447074,35.68983582627202,13.18958671597438,TRUE,FALSE,TRUE,FALSE,1902304
120,380,49.2052,-18.5926,2023-03-08,2.0148717249766204,-14.560139355601542,35.724053490315924,7.833650003465289,TRUE,TRUE,TRUE,FALSE,1902304
131,540,50.7188,-16.8946,2023-06-27,2.492589444607632,-2.203083139213219,35.560956238342705,53.74553861547511,TRUE,FALSE,TRUE,FALSE,1902304
148,220,54.1711,-14.9503,2023-12-20,2.0907519011922524,-2.253951664256349,35.7460436486025,11.637768086085293,TRUE,TRUE,TRUE,FALSE,1902304
