WMO,CYCLE_NUMBER,Category,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME
5903887,237,1,220,70.92,-5.105,2015-12-27
6901578,15,1,500,-44.47640333333333,31.178483333333332,2015-05-24
6901578,269,1,420,-45.209165,94.76575833333334,2018-01-16
6901578,209,1,340,-50.66979666666667,92.52836166666668,2017-05-18
6901578,258,1,580,-46.003303333333335,95.273265,2017-12-25
6901578,334,1,340,-51.598933333333335,133.33536666666666,2018-11-07
6901578,328,1,660,-49.554161666666666,131.35923833333334,2018-10-20
6901578,329,1,500,-50.446178333333336,131.35822166666668,2018-10-23
6901578,207,1,300,-51.846655,92.27826,2017-04-28
6901578,264,1,300,-45.36499166666667,95.08528,2018-01-06
6901578,127,1,620,-44.102955,59.34970166666667,2016-09-29
6901578,48,0,420,-43.338121666666666,37.70024,2015-10-27
6901578,249,1,580,-47.72405166666667,94.44030333333332,2017-12-07
6901578,276,1,300,-45.57874,95.10571833333331,2018-01-30
6901578,14,1,500,-44.511968333333336,31.21238333333333,2015-05-23
6901578,325,1,500,-49.630968333333335,128.63244,2018-10-11
6901578,357,1,460,-50.01811,138.96578,2018-12-31
6901484,36,1,260,60.63013,-40.14064833333333,2013-12-06
6901484,12,1,340,64.058465,-30.679856666666662,2013-07-04
6901484,5,1,260,63.25254833333333,-30.508623333333333,2013-06-21
6901484,24,1,340,64.331815,-33.24914666666667,2013-09-02
6901765,191,1,420,35.934553333333334,21.52052,2018-06-11
6901765,133,1,540,35.61259666666667,22.20278,2017-05-01
3901497,191,0,820,-33.89766,-13.319765,2017-01-09
5904980,93,2,740,-57.790294406631446,-30.709637697149446,2019-07-26
5904980,67,1,700,-58.27,-57.578,2018-11-03
5904980,106,0,260,-53.931,-31.546,2019-12-04
5904980,70,2,300,-58.871,-52.588,2018-12-04
6902549,27,0,300,72.283,1.059,2015-03-12
6902549,46,0,300,68.687,-6.958,2015-06-15
6902549,18,1,220,72.706,4.11,2015-01-12
6902549,35,1,860,70.948,-4.317,2015-04-21
6902549,43,1,340,69.053,-7.054,2015-05-31
6902549,39,1,340,70.782,-5.22,2015-05-11
6902549,179,1,260,68.699,0.793,2017-04-10
6902549,42,1,300,69.361,-7.249,2015-05-26
6902549,187,1,260,68.491,2.364,2017-05-20
6902549,37,1,420,70.719,-4.597,2015-05-01
6902549,237,1,740,70.341,-1.575,2018-02-07
6902549,38,1,380,70.784,-5.031,2015-05-06
5906032,79,0,420,-45.846,77.471,2021-07-02
5906032,88,1,260,-49.87,88.226,2021-10-01
5906032,110,0,380,-47.74,98.3,2022-05-11
5905982,117,1,300,-40.382,-44.311,2021-12-30
5905982,115,1,260,-39.948,-45.922,2021-12-10
5905982,70,1,900,-35.355,-47.087,2020-09-13
5905982,119,1,220,-41.633,-44.884,2022-01-19
4903365,8,0,340,58.946,-42.553,2021-10-22
4903365,96,0,580,55.1965,-39.4884,2024-03-20
4903365,2,0,380,59.774,-39.151,2021-08-23
4903365,98,1,300,55.2417,-39.83,2024-04-09
4903365,85,1,460,54.9045,-37.4077,2023-12-01
4903365,49,0,460,57.369,-40.643,2022-12-06
4903365,38,1,260,58.506,-42.254,2022-08-18
4903365,100,0,220,55.3347,-39.2875,2024-04-29
4903365,3,0,340,59.327,-40.424,2021-09-02
4903365,39,0,340,58.415,-42.676,2022-08-28
4903365,51,1,380,57.089,-40.769,2022-12-26
4903365,44,0,620,58.731,-41.305,2022-10-17
4903365,13,1,300,57.894,-41.765,2021-12-11
4903365,111,1,260,56.859,-38.2839,2024-08-17
4903365,25,1,580,61.006,-38.692,2022-04-10
4903365,26,1,500,61.477,-37.075,2022-04-20
4903365,15,1,460,58.357,-39.738,2021-12-31
4903365,77,1,260,55.7492,-39.9908,2023-09-12
4903365,45,1,420,58.426,-40.751,2022-10-27
4903365,75,0,300,56.0949,-39.0377,2023-08-23
4903365,83,1,660,54.9692,-38.3282,2023-11-11
4903365,99,1,220,55.372,-39.49,2024-04-19
4903365,16,1,220,57.575,-39.993,2022-01-10
6901775,58,1,220,35.02535833333334,23.296881666666668,2019-03-23
6901775,248,1,220,37.167168333333336,19.189656666666668,2022-04-14
6901775,96,1,340,36.669115,21.73952166666667,2019-11-08
6901775,74,1,340,36.354306666666666,21.997756666666668,2019-07-05
6903549,37,1,500,67.00420166666666,-4.970251666666667,2019-11-11
5906043,8,1,300,4.572,-139.24,2019-10-22
5906043,7,1,300,4.52,-139.277,2019-10-19
5905371,92,0,300,-55.186,-164.194,2020-07-28
5905371,109,1,500,-55.69,-142.852,2021-01-15
5905371,126,1,380,-54.841,-129.93,2021-07-05
5905371,134,1,540,-54.877,-115.371,2021-09-24
5905371,122,1,940,-55.415,-137.31,2021-05-26
5905371,44,1,220,-55.696,152.863,2019-04-02
5905371,42,1,260,-53.661,151.036,2019-03-12
5905371,47,1,660,-55.894,156.934,2019-05-02
5905371,73,1,300,-56.502,-171.151,2020-01-19
5905371,68,2,340,-57.516,-175.468,2019-11-29
5905371,74,1,380,-56.05,-170.369,2020-01-29
5905371,127,1,220,-55.434,-127.405,2021-07-15
5905371,128,1,340,-56.536,-125.408,2021-07-25
5906545,10,0,220,-49.02,-163.588,2023-03-06
5905991,82,0,500,-58.175,-30.786,2021-04-18
5906636,108,0,940,-45.364198333333334,145.02657833333333,2023-12-03
5906636,10,1,500,-34.892783333333334,155.20843499999998,2021-05-26
5906636,116,1,260,-45.91162833333333,145.632425,2024-02-21
5906206,104,1,420,-49.07,128.404,2022-12-06
5906206,83,1,380,-47.536,105.028,2022-05-04
5906206,118,1,380,-44.639,144.216,2023-04-29
2903465,39,0,300,-4.8295,86.934,2024-06-24
2903465,42,1,260,-4.5784,87.5534,2024-07-24
2903465,1,0,300,-5.0764,86.6602,2023-07-06
5904676,139,1,220,-55.97,164.213,2020-03-14
5904676,22,1,420,-50.423,93.422,2016-09-04
5904676,5,1,380,-50.532,84.409,2016-03-01
5904676,141,0,300,-56.965,165.342,2020-04-05
5904676,58,1,300,-49.258,110.486,2017-10-05
5904676,24,1,340,-51.637,95.297,2016-09-26
5904676,23,1,220,-51.032,94.533,2016-09-15
5904676,35,1,260,-52.341,101.588,2017-01-25
6901512,134,1,220,41.93354,3.887455,2014-04-01
6901512,128,1,220,42.31775,4.473475,2014-03-14
6901512,138,1,540,41.72613333333334,3.71392,2014-04-13
6901512,104,1,220,42.35972833333334,4.976466666666667,2014-01-01
6901512,129,1,260,42.269055,4.3630933333333335,2014-03-17
6901512,137,1,300,41.77940666666667,3.754715,2014-04-10
5904678,132,1,380,-55.531,173.095,2019-09-23
5904678,29,1,500,-47.622,157.776,2016-11-21
5904678,127,1,860,-52.436,154.823,2019-08-04
5904678,36,1,260,-47.202,159.517,2017-01-30
5904678,122,1,940,-52.214,149.562,2019-06-14
5906552,9,1,500,-54.3405,-127.0897,2023-03-17
5906552,16,1,460,-51.0217,-120.7287,2023-05-28
5906552,61,1,860,-53.3338,-104.1252,2024-09-03
5906552,14,1,900,-51.0563,-122.8526,2023-05-08
6901767,179,1,260,40.658606666666664,10.362181666666666,2018-01-08
2903473,2,1,420,-46.0994,-28.5955,2023-10-12
5906317,101,1,300,-62.758,-100.965,2023-10-30
5906317,25,1,340,-58.361,-126.438,2021-09-24
5906317,63,1,300,-61.382,-116.914,2022-10-11
5906317,35,1,540,-58.389,-123.18,2022-01-03
5906317,62,1,300,-61.96,-116.705,2022-10-01
5906317,28,1,500,-59.178,-123.546,2021-10-24
5906317,97,1,300,-62.154,-99.34,2023-09-20
5906317,108,1,260,-63.002,-98.088,2024-01-10
5906317,77,1,300,-59.551,-109.483,2023-03-02
5906317,33,1,220,-58.449,-124.676,2021-12-14
5906317,41,1,420,-60.003,-119.857,2022-03-04
5906317,81,1,420,-60.302,-106.508,2023-04-11
5906317,76,1,340,-60.186,-109.579,2023-02-20
5906317,21,1,260,-58.621,-129.919,2021-08-15
5906317,127,1,260,-60.775,-80.324,2024-07-20
5906317,24,1,420,-57.892,-127.024,2021-09-14
5906317,29,1,340,-58.758,-122.267,2021-11-03
5906317,26,1,420,-59.125,-125.866,2021-10-04
5906317,121,1,260,-61.029,-88.491,2024-05-20
5905070,47,1,380,-50.894,102.009,2018-04-22
5905070,52,1,380,-50.212,103.836,2018-06-12
5905377,66,1,260,-61.401,175.58,2019-11-23
5905377,144,1,500,-53.452,-143.22,2022-01-17
5905377,138,1,340,-55.802,-154.072,2021-11-18
5905377,141,1,220,-54.817,-148.829,2021-12-18
5905377,147,1,460,-52.597,-141.969,2022-02-17
5905377,140,1,460,-55.341,-150.507,2021-12-08
5905377,134,1,300,-57.612,-154.987,2021-10-08
5905377,136,1,260,-56.901,-154.276,2021-10-28
5905377,142,1,340,-55.224,-144.602,2021-12-28
5903718,136,1,540,-58.472,-125.877,2014-02-04
5903718,135,1,660,-58.233,-125.393,2014-01-30
5903718,160,1,300,-59.794,-110.555,2014-06-09
5903718,33,0,220,-50.051,-162.07,2012-08-18
5903718,106,1,420,-52.694,-144.165,2013-09-01
5903718,114,1,220,-52.662,-139.301,2013-10-13
5903718,172,1,300,-60.415316848391086,-108.18477273065974,2014-08-10
5903718,139,1,380,-58.186,-123.27,2014-02-20
5903718,108,1,460,-52.085,-143.544,2013-09-12
5903718,141,1,220,-57.893,-121.417,2014-03-02
5906972,53,1,740,-16.664179121890918,42.719695124046765,2024-01-19
6902739,236,1,420,-51.11700333333334,83.62843833333334,2018-08-31
6902739,238,1,220,-52.44311833333333,82.68913333333333,2018-09-08
4903757,9,1,380,-61.3602,-98.7097,2024-07-17
5906303,49,1,500,3.616,178.395,2022-01-09
5906562,33,1,260,-52.1693,-44.7839,2023-12-14
5906562,17,1,300,-59.1764,-66.4347,2023-07-02
5906562,59,1,260,-47.4806,-23.3039,2024-09-08
5906562,19,1,860,-55.2137,-61.0707,2023-07-23
5906562,16,1,460,-58.3507,-69.3182,2023-06-22
5906562,23,1,220,-55.1014,-51.2612,2023-09-02
6902905,358,1,260,-49.276055,134.94604166666667,2021-08-18
6902905,201,1,300,-47.42655,83.02862,2020-10-08
6902905,219,1,540,-46.03923833333333,87.653125,2020-11-13
6902905,232,1,220,-45.34378666666667,90.21115333333331,2020-12-09
6902905,199,1,740,-47.16245333333333,82.76920666666666,2020-10-04
6902905,398,1,660,-46.762391666666666,134.78122666666667,2021-11-06
6902905,234,1,660,-45.0377,90.20152833333331,2020-12-13
6902905,235,1,220,-44.79725166666667,90.26187,2020-12-15
6902905,410,1,660,-46.81567833333333,133.611315,2021-11-30
6902905,233,1,580,-45.242558333333335,90.220655,2020-12-11
6902905,267,1,820,-44.316143333333336,96.38441333333331,2021-02-17
5906000,87,1,380,-61.876,85.48,2021-05-11
5906000,84,1,460,-63.42,85.135,2021-04-11
5906000,65,1,420,-64.097,90.084,2020-10-02
5905368,79,1,220,-52.825,83.82,2020-03-17
5905368,74,1,260,-50.591,84.751,2020-01-26
6901764,172,1,380,32.972658333333335,26.795871666666667,2018-02-15
6901764,173,1,380,32.91789166666667,27.009148333333332,2018-02-22
6901764,128,1,260,34.67957833333333,29.049651666666666,2017-04-13
6901764,171,1,220,32.987695,27.02487,2018-02-08
6903569,31,1,220,68.00735,-4.11705,2020-10-19
6903569,161,1,220,68.54372,-3.83343,2022-04-25
5906440,76,1,300,39.598,-47.781,2023-04-19
5906440,116,1,420,45.983,-36.946,2024-05-23
5906212,10,1,260,-59.509,-88.697,2020-03-12
5906212,3,0,260,-59.577,-90.715,2019-12-31
5906212,1,0,220,-60.16,-89.026,2019-12-10
5906212,2,0,340,-60.681,-89.666,2019-12-21
5906212,15,0,340,-59.033,-89.883,2020-05-02
5906212,24,0,380,-59.185,-84.132,2020-08-03
5906526,8,1,380,-48.77,45.782,2022-07-21
5906526,70,0,980,-44.266,76.816,2024-04-24
5906526,69,1,980,-45.468,75.402,2024-04-14
5904396,39,1,500,-52.47,-132.5,2014-11-01
5904396,7,0,300,-54.932,-146.336,2014-05-14
5904396,12,1,540,-53.956,-140.699,2014-06-09
5904396,89,1,380,-51.168,-121.034,2015-09-27
5904396,10,2,260,-54.006,-141.835,2014-05-30
5904396,52,1,540,-51.837,-129.582,2015-01-10
5904396,4,1,420,-54.618,-149.732,2014-04-28
5904396,5,1,420,-54.087,-148.271,2014-05-03
5904396,22,1,380,-54.968,-137.594,2014-08-02
5906508,14,1,300,-55.424,129.385,2022-06-26
4903488,45,1,380,53.6923,-18.5425,2024-07-15
