WMO,Cycle,Category,CYCLE_NUMBER
1901339,112,3,112.0
1901339,178,4,178.0
1901339,325,2,325.0
1901339,376,2,376.0
1901339,410,1,410.0
1901339,431,2,431.0
1901339,448,2,448.0
1901339,465,0,465.0
1901339,481,2,481.0
1901339,513,1,513.0
1901339,529,1,529.0
1901339,536,4,536.0
1901339,560,1,560.0
1901339,576,1,576.0
1901339,605,3,605.0
1901339,623,1,623.0
1901339,637,1,637.0
1901339,652,2,652.0
1901339,682,1,682.0
1901348,52,2,52.0
1901348,56,2,56.0
1902332,178,0,178.0
1902332,1,0,1.0
1902332,176,0,176.0
1902332,10,2,10.0
1902332,188,0,188.0
1902332,100,1,100.0
1902332,189,3,189.0
1902332,101,2,101.0
1902332,198,2,198.0
1902332,102,1,102.0
1902332,2,1,2.0
1902332,103,2,103.0
1902332,201,0,201.0
1902332,104,2,104.0
1902332,23,0,23.0
1902332,107,2,107.0
1902332,24,3,24.0
1902332,11,2,11.0
1902332,25,3,25.0
1902332,110,2,110.0
1902332,26,2,26.0
1902332,112,2,112.0
1902332,28,2,28.0
1902332,113,1,113.0
1902332,29,2,29.0
1902332,117,2,117.0
1902332,3,2,3.0
1902332,118,2,118.0
1902332,30,2,30.0
1902332,12,2,12.0
1902332,31,1,31.0
1902332,124,2,124.0
1902332,32,2,32.0
1902332,125,2,125.0
1902332,37,2,37.0
1902332,143,1,143.0
1902332,39,2,39.0
1902332,144,0,144.0
1902332,4,2,4.0
1902332,146,1,146.0
1902332,48,1,48.0
1902332,147,2,147.0
1902332,49,0,49.0
1902332,148,3,148.0
1902332,5,2,5.0
1902332,149,2,149.0
1902332,50,0,50.0
1902332,15,2,15.0
1902332,51,0,51.0
1902332,150,0,150.0
1902332,52,0,52.0
1902332,151,0,151.0
1902332,53,0,53.0
1902332,152,0,152.0
1902332,56,0,56.0
1902332,153,3,153.0
1902332,58,1,58.0
1902332,154,2,154.0
1902332,59,1,59.0
1902332,155,1,155.0
1902332,6,2,6.0
1902332,156,1,156.0
1902332,60,1,60.0
1902332,157,0,157.0
1902332,65,1,65.0
1902332,158,2,158.0
1902332,67,0,67.0
1902332,159,1,159.0
1902332,8,1,8.0
1902332,16,2,16.0
1902332,84,0,84.0
1902332,160,1,160.0
1902332,87,0,87.0
1902332,161,0,161.0
1902332,89,0,89.0
1902332,164,0,164.0
1902332,95,0,95.0
1902332,165,0,165.0
1902332,96,0,96.0
1902332,172,0,172.0
1902332,175,0,175.0
1902332,190,0,190.0
1902332,194,0,194.0
1902332,195,0,195.0
1902332,197,0,197.0
1902380,3,2,3.0
1902380,4,2,4.0
1902380,43,0,43.0
1902380,5,2,5.0
1902380,75,0,75.0
1902380,80,2,80.0
1902380,81,0,81.0
1902381,45,2,45.0
1902382,16,2,16.0
1902382,17,0,17.0
1902382,47,0,47.0
1902382,55,1,55.0
1902382,74,1,74.0
1902382,80,0,80.0
1902382,81,2,81.0
1902382,82,0,82.0
1902382,9,0,9.0
1902384,16,2,16.0
1902384,32,0,32.0
1902384,58,3,58.0
1902384,83,0,83.0
1902453,2,2,2.0
1902453,24,3,24.0
1902454,25,3,25.0
1902454,32,0,32.0
1902455,10,0,10.0
1902455,11,0,11.0
1902455,3,0,3.0
1902455,34,0,34.0
1902457,14,0,14.0
1902457,19,0,19.0
1902457,22,0,22.0
1902457,30,0,30.0
1902457,5,0,5.0
1902593,1,0,1.0
1902593,10,0,10.0
1902593,11,0,11.0
1902593,12,0,12.0
1902593,13,0,13.0
1902593,14,2,14.0
1902593,15,0,15.0
1902593,21,1,21.0
1902593,26,0,26.0
1902593,27,0,27.0
1902593,28,0,28.0
1902593,29,0,29.0
1902593,33,2,33.0
1902593,34,2,34.0
1902593,35,0,35.0
1902593,36,0,36.0
1902593,37,0,37.0
1902593,39,2,39.0
1902593,43,0,43.0
1902593,44,0,44.0
1902593,46,2,46.0
1902593,47,1,47.0
1902593,48,2,48.0
1902593,5,0,5.0
1902593,7,0,7.0
1902644,14,0,14.0
1902646,13,0,13.0
1902646,18,0,18.0
2902091,3,0,3.0
2902091,9,0,9.0
2902093,117,3,117.0
2902093,121,0,121.0
2902093,122,0,122.0
2902093,125,0,125.0
2902093,157,0,157.0
2902093,176,2,176.0
2902093,31,0,31.0
2902093,43,0,43.0
2902093,45,0,45.0
2902093,46,0,46.0
2902093,50,0,50.0
2902093,53,0,53.0
2902093,54,0,54.0
2902093,55,0,55.0
2902093,75,0,75.0
2902093,77,0,77.0
2902093,79,0,79.0
2902093,80,0,80.0
2902093,91,0,91.0
2902158,125,4,125.0
2902271,101,0,101.0
2902272,106,0,106.0
2902272,159,2,159.0
2902272,87,0,87.0
2902277,128,2,128.0
2902762,18,0,18.0
2902762,1,0,1.0
2902762,179,0,179.0
2902762,10,0,10.0
2902762,180,0,180.0
2902762,101,0,101.0
2902762,182,0,182.0
2902762,108,2,108.0
2902762,188,0,188.0
2902762,11,0,11.0
2902762,189,0,189.0
2902762,110,0,110.0
2902762,19,0,19.0
2902762,112,0,112.0
2902762,191,0,191.0
2902762,113,0,113.0
2902762,192,0,192.0
2902762,114,0,114.0
2902762,194,0,194.0
2902762,115,0,115.0
2902762,195,0,195.0
2902762,117,0,117.0
2902762,196,0,196.0
2902762,119,0,119.0
2902762,197,0,197.0
2902762,12,0,12.0
2902762,198,0,198.0
2902762,124,0,124.0
2902762,199,0,199.0
2902762,125,0,125.0
2902762,2,0,2.0
2902762,127,0,127.0
2902762,200,0,200.0
2902762,128,0,128.0
2902762,201,0,201.0
2902762,129,0,129.0
2902762,202,0,202.0
2902762,131,0,131.0
2902762,203,0,203.0
2902762,132,0,132.0
2902762,204,0,204.0
2902762,133,0,133.0
2902762,205,0,205.0
2902762,134,0,134.0
2902762,206,0,206.0
2902762,135,0,135.0
2902762,22,0,22.0
2902762,136,0,136.0
2902762,25,0,25.0
2902762,139,0,139.0
2902762,26,0,26.0
2902762,14,0,14.0
2902762,28,0,28.0
2902762,140,0,140.0
2902762,3,0,3.0
2902762,141,3,141.0
2902762,31,0,31.0
2902762,142,0,142.0
2902762,32,0,32.0
2902762,15,0,15.0
2902762,35,0,35.0
2902762,16,0,16.0
2902762,36,0,36.0
2902762,163,0,163.0
2902762,38,0,38.0
2902762,165,0,165.0
2902762,39,0,39.0
2902762,169,0,169.0
2902762,4,0,4.0
2902762,17,0,17.0
2902762,40,0,40.0
2902762,171,0,171.0
2902762,41,0,41.0
2902762,172,0,172.0
2902762,42,0,42.0
2902762,174,0,174.0
2902762,43,0,43.0
2902762,176,0,176.0
2902762,44,0,44.0
2902762,177,0,177.0
2902762,46,0,46.0
2902762,178,0,178.0
2902762,184,0,184.0
2902762,47,0,47.0
2902762,185,0,185.0
2902762,48,0,48.0
2902762,186,0,186.0
2902762,49,0,49.0
2902762,187,0,187.0
2902762,5,0,5.0
2902762,50,0,50.0
2902762,51,0,51.0
2902762,52,0,52.0
2902762,53,0,53.0
2902762,55,0,55.0
2902762,56,0,56.0
2902762,57,0,57.0
2902762,58,0,58.0
2902762,59,0,59.0
2902762,60,0,60.0
2902762,61,0,61.0
2902762,62,0,62.0
2902762,65,0,65.0
2902762,66,0,66.0
2902762,67,0,67.0
2902762,69,0,69.0
2902762,7,0,7.0
2902762,71,0,71.0
2902762,72,0,72.0
2902762,73,0,73.0
2902762,74,0,74.0
2902762,75,0,75.0
2902762,78,0,78.0
2902762,79,0,79.0
2902762,8,0,8.0
2902762,80,0,80.0
2902762,82,0,82.0
2902762,83,0,83.0
2902762,84,0,84.0
2902762,85,0,85.0
2902762,86,0,86.0
2902762,87,0,87.0
2902762,88,0,88.0
2902762,89,0,89.0
2902762,9,0,9.0
2902762,90,0,90.0
2902762,91,0,91.0
2902762,92,0,92.0
2902762,93,0,93.0
2902762,94,0,94.0
2902762,95,0,95.0
2902762,96,0,96.0
2902762,97,0,97.0
2902762,98,0,98.0
2903213,1,3,1.0
2903213,2,2,2.0
2903329,10,0,10.0
2903329,9,3,9.0
2903329,11,0,11.0
2903329,13,0,13.0
2903329,15,0,15.0
2903329,16,0,16.0
2903329,18,0,18.0
2903329,30,0,30.0
2903329,31,0,31.0
2903329,34,0,34.0
2903329,38,0,38.0
2903329,39,0,39.0
2903329,40,2,40.0
2903329,41,0,41.0
2903329,42,0,42.0
2903329,47,0,47.0
2903329,48,0,48.0
2903329,49,0,49.0
2903329,50,0,50.0
2903329,51,0,51.0
2903329,52,0,52.0
2903329,53,0,53.0
2903329,54,0,54.0
2903329,55,0,55.0
2903329,56,0,56.0
2903329,57,0,57.0
2903329,58,0,58.0
2903329,59,0,59.0
2903329,60,0,60.0
2903329,61,0,61.0
2903329,7,0,7.0
2903329,72,0,72.0
2903329,73,0,73.0
2903329,74,0,74.0
2903329,75,0,75.0
2903329,76,0,76.0
2903329,77,3,77.0
2903329,79,2,79.0
2903329,8,0,8.0
2903329,80,0,80.0
2903329,81,1,81.0
2903329,82,2,82.0
2903330,1,0,1.0
2903330,10,0,10.0
2903330,11,0,11.0
2903330,14,0,14.0
2903330,16,0,16.0
2903330,19,0,19.0
2903330,2,0,2.0
2903330,20,0,20.0
2903330,21,0,21.0
2903330,26,0,26.0
2903330,28,2,28.0
2903330,29,0,29.0
2903330,3,0,3.0
2903330,30,0,30.0
2903330,31,0,31.0
2903330,33,0,33.0
2903330,36,2,36.0
2903330,38,0,38.0
2903330,39,0,39.0
2903330,40,2,40.0
2903330,41,0,41.0
2903330,42,0,42.0
2903330,46,0,46.0
2903330,50,3,50.0
2903330,51,0,51.0
2903330,52,0,52.0
2903330,53,0,53.0
2903330,56,0,56.0
2903330,57,0,57.0
2903330,58,0,58.0
2903330,59,0,59.0
2903330,62,0,62.0
2903330,63,0,63.0
2903330,71,1,71.0
2903330,74,2,74.0
2903330,75,2,75.0
2903330,8,2,8.0
2903330,81,2,81.0
2903330,82,2,82.0
2903392,30,0,30.0
2903392,10,2,10.0
2903392,29,0,29.0
2903392,101,2,101.0
2903392,32,0,32.0
2903392,105,0,105.0
2903392,76,1,76.0
2903392,106,1,106.0
2903392,89,1,89.0
2903392,11,0,11.0
2903392,9,0,9.0
2903392,114,0,114.0
2903392,92,2,92.0
2903392,115,0,115.0
2903392,93,1,93.0
2903392,117,0,117.0
2903392,94,2,94.0
2903392,119,0,119.0
2903392,99,2,99.0
2903392,124,0,124.0
2903392,130,2,130.0
2903392,131,1,131.0
2903392,132,2,132.0
2903392,133,1,133.0
2903392,134,2,134.0
2903392,136,2,136.0
2903392,137,2,137.0
2903392,138,0,138.0
2903392,140,2,140.0
2903392,142,2,142.0
2903392,143,2,143.0
2903392,144,2,144.0
2903392,145,2,145.0
2903392,146,2,146.0
2903392,148,3,148.0
2903392,149,2,149.0
2903392,150,3,150.0
2903392,151,0,151.0
2903392,155,0,155.0
2903392,156,2,156.0
2903392,157,3,157.0
2903392,158,2,158.0
2903392,159,2,159.0
2903392,160,2,160.0
2903392,161,2,161.0
2903392,162,2,162.0
2903392,163,2,163.0
2903392,164,1,164.0
2903392,165,1,165.0
2903392,166,2,166.0
2903392,24,0,24.0
2903392,77,2,77.0
2903392,78,2,78.0
2903392,84,0,84.0
2903392,88,0,88.0
2903393,101,0,101.0
2903393,102,0,102.0
2903393,103,0,103.0
2903393,108,0,108.0
2903393,111,0,111.0
2903393,112,2,112.0
2903393,113,0,113.0
2903393,115,2,115.0
2903393,116,2,116.0
2903393,132,0,132.0
2903393,137,0,137.0
2903393,139,0,139.0
2903393,145,0,145.0
2903393,151,0,151.0
2903393,16,0,16.0
2903393,29,2,29.0
2903393,36,0,36.0
2903393,46,0,46.0
2903393,47,0,47.0
2903393,55,0,55.0
2903393,58,0,58.0
2903393,60,2,60.0
2903393,61,2,61.0
2903393,84,0,84.0
2903393,85,0,85.0
2903395,1,0,1.0
2903395,101,2,101.0
2903395,12,0,12.0
2903395,125,0,125.0
2903395,127,0,127.0
2903395,129,1,129.0
2903395,131,2,131.0
2903395,144,1,144.0
2903395,146,0,146.0
2903395,149,1,149.0
2903395,155,2,155.0
2903395,158,1,158.0
2903395,159,2,159.0
2903395,160,2,160.0
2903395,161,1,161.0
2903395,162,2,162.0
2903395,164,1,164.0
2903395,166,1,166.0
2903395,167,1,167.0
2903395,168,1,168.0
2903395,3,0,3.0
2903395,4,0,4.0
2903395,48,0,48.0
2903395,52,0,52.0
2903395,53,2,53.0
2903395,54,3,54.0
2903395,55,2,55.0
2903395,6,3,6.0
2903395,7,0,7.0
2903395,70,1,70.0
2903395,8,2,8.0
2903395,87,2,87.0
2903395,92,2,92.0
2903395,99,2,99.0
2903396,14,2,14.0
2903396,17,3,17.0
2903451,10,0,10.0
2903451,42,3,42.0
2903451,8,0,8.0
2903454,20,2,20.0
2903455,18,1,18.0
2903455,21,1,21.0
2903455,22,1,22.0
2903455,24,1,24.0
2903456,1,1,1.0
2903456,20,1,20.0
2903456,28,1,28.0
2903456,29,2,29.0
2903456,30,1,30.0
2903456,6,1,6.0
2903459,10,0,10.0
2903459,21,0,21.0
2903459,23,0,23.0
2903459,29,0,29.0
2903459,8,0,8.0
2903461,16,2,16.0
